Name	Lon	Lat
Wiese	76.98333333	79.5
Golomyanny	90.61666667	79.55
"Im.E.K.Fedorova, GMO"	104.2797222	77.71111111
Dixon	80.381147	73.516594
Kyusyur	127.4	70.68333333
Upper river Lotta	28.91	68.53
Padun	31.8	68.6
Apatity	33.35	67.55
Krasnoshchelie	37.05	67.35
Kanevka	39.66666667	67.13333333
Pyalitsa	39.52888889	66.19416667
Arkhangelsk	40.71888889	64.50611111
Norilsk (Time. TsGMS)	88.269194	69.350693
Naryan-Mar	53.08781	67.638067
Kotkino	51.21779	67.022978
Hoseda hard	59.38333333	67.08333333
Igarka	86.56666667	67.46666667
Petrun	60.76666667	66.43333333
Agatha	93.46666667	66.88333333
Ust-Tsilma	52.26666667	65.43333333
Ust-Usa	56.916523	65.98141
Pechora	57.14	65.13
Yanov Stan	84.325407	65.978324
Turukhansk	87.93634	65.795624
Saranpaul	60.884925	64.26776
Tarko-Sale	77.816	64.919
Vereshchagino	87.46	64.23
Ukhta	53.81	63.55
Sosva	62.1	63.65
Berezovo	65.05	63.93333333
Khalessovaya	78.31666667	63.38333333
Only	82.059533	63.992006
Verkhneimbatsk	87.978387	63.157677
Troitsko-Pechora	56.2	62.7
Nyksimvol	60.86483685	62.42911789
October	66.045785	62.464317
Kogalym	74.529962	62.190361
Kuzmovka	92.116748	62.315876
Syktyvkar	50.86666667	61.66666667
Vonegan	64.90888889	61.92888889
Sytomino	71.3	61.3
Corliki	82.4	61.53
Laryak	80.25	61.1
Boron	90.01666667	61.6
Baikit	96.362356	61.678378
Ivdel	60.45	60.68333333
Khanty-Mansiysk	69.118002	61.027539
Altai	68.958512	60.33369
Aleksandrovskoe	77.86666667	60.43333333
Velmo	93.42	61.02
North Yenisei	93.03333333	60.38333333
Olenek	112.482659	68.498873
Suhana	118.3333333	68.61666667
Verkhoyansk	133.392854	67.542411
Zhigansk	123.3736111	66.76527778
Ust-Moma	143.2333333	66.45
Tour	100.216841	64.27386
Nyurba	118.3333333	63.28333333
Vilyuisk	121.6166667	63.78333333
"Sangary, AMSG"	127.46	63.96
Oymyakon	143.15	63.25
Suntar	117.639802	62.176038
Churapcha	132.6	62.03333333
Susuman	148.1666667	62.78333333
Chuns arrow	102.8	61.75
Yerbogachen	108.0166667	61.26666667
Pokrovsk	129.15	61.48
Vanavara	102.301109	60.351039
Olekminsk	120.4166667	60.4
To heal	125.3166667	60.81666667
Yakutsk	129.7166667	62.01666667
"Amga, AMSG"	131.98	60.9
Ust-Maya	134.45	60.38333333
Island	164.1666667	68.11666667
Srednekolymsk	153.720926	67.464841
Zyryanka	150.9	65.73333333
Omolon	160.5333333	65.23333333
Markovo	170.4166667	64.68333333
Srednekan	152.323727	62.445698
Magadan	150.7936111	59.55277778
Serov	60.53	59.6
Gary	62.33	59.43
Demianskoe	69.281243	59.606029
Turinsk	63.66805556	58.05638889
Tavda	65.26	58.05
Tobolsk	68.246914	58.154797
Artyomovsky	61.90916667	57.36444444
Tevriz	72.4	57.51
Vikulovo	70.61	56.81
Tara	74.38333333	56.9
Ishim	69.43361111	56.09305556
Tyukalinsk	72.2	55.86
Nazyvaevsk	71.36	55.56
Sargat	73.48	55.6
Chrysostom	59.65734873	55.16243961
Kalachinsk	74.59138889	55.02972222
Sherbakul	72.43	54.63
Cherlak	74.78055556	54.15805556
Napas	81.95	59.85
Middle Vasyugan	78.234112	59.220074
Kolpashevo	82.932065	58.320569
Yeniseisk	92.15	58.45
Boguchany	97.45	58.38333333
Worm	99.53549914	57.65411026
North	78.36666667	56.33333333
"Achinsk, railway station"	90.51666667	56.28333333
Taiga	85.61666667	56.06666667
Sharypovo	89.2	55.53
"Krasnoyarsk, op.p."	92.74103124	56.02910766
Shalinsky	93.75	55.72
Tayshet	98	55.95
"Uzhur, st.zh.d."	89.81	55.3
Aginskoye	94.8875	55.25333333
Nizhneudinsk	99.03333333	54.88333333
Kupino	77.27638889	54.35388889
"Shira, railway."	89.93	54.5
Aligger	98.215784	53.632527
Vitim	112.56505	59.4577
Tokma	105.7288889	58.22361111
Mama	112.8613889	58.3175
Light coloured	116.02	58.42
Kirensk	108.0666667	57.76666667
Mamakan	114.1666667	57.81666667
Bratsk	101.74484	56.312004
Orlinga	105.8358333	56.05638889
Kazachinskoe	107.6177778	56.28916667
Chara	118.2666667	56.9
Ust-Nyukzha	121.4833333	56.58333333
Tanguy	101.03	55.38
Kalakan	116.7666667	55.11666667
Upland	124.8833333	55.96666667
Tulun	100.6333333	54.6
Zhigalovo	105.1666667	54.8
Tyrka	107.07	54.48
Trinity Priisk	113.1333333	54.61666667
Winter	102.05	53.93
Balagansk	103.0666667	54
Bayandai	105.5333333	53.1
Barguzin	109.6333333	53.61666667
Uzur	107.73	53.32
Mogocha	119.7333333	53.75
Erofei Pavlovich	121.926714	53.972862
Skovorodino	123.9666667	54
"Irkutsk, observ."	104.35	52.26666667
Usolie-Siberian	103.665657	52.754008
Angarsk	103.8605556	52.48055556
Kabansk	106.65	52.05
Goryachinsk	108.2880556	52.97861111
Khorinsk	109.78	52.16
Sosnovo-Ozersk	111.562463	52.534007
Chita	113.4833333	52.08333333
"Nerchinsk, AMSG"	116.53	52
Ust-Karsk	118.8	52.7
Sretensk	117.7	52.23333333
Tunka	102.5333333	51.73333333
Grandmas	105.8455556	51.7125
Ulan-Ude	107.6	51.83333333
Flies	112.46	51.35
Aginskoye	114.5166667	51.1
Shelopugino	117.56	51.65
Nerchinsky zd	119.6166667	51.31666667
Kyahta	106.45	50.36666667
Red Chikoy	108.75	50.36666667
Kyra	111.9666667	49.56666667
Aksha	113.26	50.26
Borzya	116.5166667	50.4
Okhotsk	143.155249	59.367435
Bomnak	128.8666667	54.71666667
Chernyaevo	126	52.78333333
Norsk	129.9166667	52.35
Them. Polina Osipenko	136.476	52.439
Bogorodskoe	140.4666667	52.38333333
Shimanovsk	127.65	51.98
Mazanovo	128.81	51.63138889
Free	128.11	51.45
Blagoveshchensk	127.5	50.25
Belogorsk	128.46	50.91
Curled	129.46	50.11
Chekunda	132.257729	50.865485
Komsomolsk-on-Amur	137.0222222	50.53444444
Arhara	130.0833333	49.41666667
Lermontovka	134.3236111	47.15638889
Ust-Khayryuzovo	156.733237	57.089416
Keys	160.8513889	56.31888889
Lower Usinskoye	93.02	52.27
Kyzyl (Tu. TsGMS)	94.49	51.71
Toora-Khem	96.1026	52.45962
Ust-Cox	85.605	50.2875
Ongudai	86.13777778	50.74555556
Kosh Agach	88.68	50.01
Erzin	95.11	50.26
Alert_5	-62.417	82.5
Arctic_Bay	-85.167	73.033
ASIA2	-162.2664	67.4749
Awuna1	-158.0067	69.1704
Awuna2	-158.0305	69.1555
Barrow 2	-156.661	71.309
Barrow_1_(N.Meadow_Lake_1_NM1)	-156.654	71.311
Barrow_2_(N_Meadow_Lake_2_NM2)	-156.662	71.309
Birch_Lake	-146.688	64.324
Bolvansky_56	54.506	68.29
Bolvansky_59	54.496	68.289
Franklin_Bluffs_1__deep_	-148.720761	69.674138
Happy_Valley_1__deep_	-148.837404	69.156459
Tiksi_stone_ridge	128.777346	71.586731
Chabada_5_81	129.41758	61.96371
Vega_23	118.08193	56.90167
Olkhon_Pit	107.439657	53.230319
Olkhon_2	107.43602	53.22904
Olkhon_3	107.43529	53.229
Olkhon_4	107.44731	53.21945
Research_Valley_Borehole__1	-111.5484	64.871817
Research_Valley_Borehole__2	-111.544717	64.870617
Taloyoak	-93.5636	69.5425
Gjoa_Haven	-95.88	68.63
Kaktovik__ANWR___Barter_	-143.62855	70.11653
West_Dock_1__deep_	-148.552166	70.374467
Rhonda_Basin	-164.48087	66.5653
Rhonda_Upland	-164.46158	66.55882
Last_Bridge	-164.65541	65.39049
Mary____s_Igloo_East	-164.69878	65.10648
Salmon_Lake	-165.05385	64.90814
Tarko_Sale	77.816	64.919
Nadym_14_72	72.8693	65.3153
Nadym_1_71	72.8239	65.3086
Nadym_23a_75	72.8612	65.3147
Nadym_ND2	72.8872	65.3134
Nadym_ND3	72.8629	65.3146
Nadym_Pingo	72.895	65.298472
Vorkuta_DS_3_VII_74	63.37228	67.39564
Marre_Sale_6	66.8125	69.7164
Vorkuta_R_57	62.38992	67.32485
Vorkuta_R_64	62.37699	67.3471
Vorkuta_R_71	62.33724	67.34613
Vorkuta_R_92	62.38978	67.32156
Vorkuta_RU0041	62.38978	67.32156
Vorkuta_SH_15	64.89051	67.37059
Vorkuta_Ya3	64.00349	67.50745
Vorkuta_ZS_117	63.33866	67.39219
Vorkuta_ZS_124	63.37544	67.39731
Vorkuta_ZS_16	63.41379	67.38972
Vorkuta_ZS_227	63.40096	67.39221
Vorkuta_R_83	62.33707	67.33792
Belenkiy_1	118.190857	56.75846
SF_1_new__Storflaket_1_new	18.977361	68.348083
Storflaket_2	18.973889	68.347222
SF_2_new__Storflaket_2_new	18.973944	68.347306
Storflaket_3	18.974722	68.346667
Storflaket_1	18.973389	68.349074
Vorkuta_8C	63.36592	67.39367
Clyde_River	-68.59444444	70.46805556
Resolute_Bay	-94.97	74.72
Vorkuta_35	61.49621	67.96219
Vorkuta_37	61.50501	67.95733
Vorkuta_100	61.50075	67.95469
Urengoy_05_01_	76.54077	66.18825
Bolvansky_54	54.504167	68.291111
Bolvansky_55	54.5025	68.289722
Marre_Sale_3	66.8125	69.7164
Marre_Sale_17	66.8179	69.7152
Marre_Sale_1	66.8139	69.7141
Marre_Sale_43	66.8341	69.7093
Udachny_1	112.32581	66.385181
Kamchatka_1_06	160.53583	55.88783
Kamchatka_10_04	160.58413	55.930983
Kamchatka_8_03	160.28965	55.7507
Kursflaket_2_PYRN	18.872	68.35098
Anyiaah_1	112.4919	63.4413
Barrow	-156.762546	71.289309
ILU2007_01_	-51.0975	69.21861
Samoylov	126.475111	72.369555
Azarova_1	117.584158	56.901794
Umaybyt_20	128.84942	61.42883
Umaybyt_20	128.84942	61.42883
Kapp_Linne_1	13.641478	78.05663
Breinosa__E_2009_	16.06259	78.141589
Endalen_PYRN	15.78158	78.190206
Deadhorse	-148.4653	70.161283
Ivotuk_3	-155.738093	68.4789
Ivotuk_3	-155.738093	68.4789
Kerak	125.5019	57.9832
Aldan_D_1	124.5343	57.53361
Bolvansky_65	54.519444	68.286667
Bolvansky_83	54.482778	68.285278
Chevak	-165.60133	61.53805
Ambler	-157.866	67.084
Anaktuvuk_Pass	-151.723	68.147
Yukon_Bridge	-149.709928	65.880411
Howe_Island_1_b	-147.9583926	70.31246382
Howe_Island_1_ib	-147.9583926	70.31246382
Toolik_Lake_1	-149.595434	68.627998
Kapp_Linne_2	13.636671	78.054605
Boza Creek 1	-148.291	64.707
Boza Creek 2	-148.288	64.715
Bykovsky_Peninsula_(edoma)_11_03_x	129.351	71.74
BYLOTPD_wide_DLY.txt	-80.00488	73.15027
Camden Bay	-144.7706	69.972
CCLA2	-143.132	65.314
Chabyda_8-82	129.444	61.928
Chandalar Shelf	-149.58	68.069
Chandalar_Shelf_Borehole	-149.58	68.069
Chara_6	118.426	56.606
CHMA2	-150.585	67.7142
Churchill_RCT-1	-94.056	58.758
College_Peat	-147.75	64.867
CREA2	-141.847	62.124
CTUA2	-142.621	61.274
Darhad_M13__depression_(Tsagaan_nuur)	99.359	51.356
Deadhorse	-148.465	70.161
Deadhorse_Borehole	-148.465	70.161
Dionisiy-22	177.42	64.59
DKLA2	-149.539	63.268
Drew Point	-153.9067	70.8645
DVLA2	-164.5309	66.2759
East Teshekpuk	-152.965	70.5685
ELLA2	-163.82	65.2752
Fish Creek	-152.052	70.3352
Fox	-147.618	64.951
Franklin Bluffs	-148.722	69.674
Franklin Bluffs boil	-148.721	69.674
Franklin Bluffs interior boil	-148.721	69.674
Franklin Bluffs Wet	-148.72	69.675
Gagnheidi_x	-14.26	65.224
Gakona 1	-145.145	62.393
Gakona 2	-145.147	62.391
Gakona4	-145.1426074	62.4124512
Galbraith Lake	-149.502	68.477
Galbraith_Lake__x	-149.502	68.477
GGLA2	-143.013	61.603
GI.1	-147.846	64.875
GI.2	-147.848	64.874
GTN-P_TSP_1748	67.47	76.69
Gu-B-2_Guolasjavri	21.168	69.366
Gulkana	-145.471	62.167
Hagöngur_x	-18.242	64.556
Happy Valley	-148.837	69.156
Healy_(TBA)	-149.244	63.878
HOWA2	-156.8958	68.156
Ikpikpuk	-154.3656	70.4416
Illisarvik	-134.59	69.48
Imnaviat	-149.352	68.64
Imnaviat_1_(deep)	-149.352	68.699
IMYA2	-157.0774	67.5448
Inigok	-153.0938	69.9896
IQAV2TC_wide_base.txt	-68.5464	63.75421
