cci_ID;Source;Dataset;Name;Latitude;Longitude;Year;double.check.number;check.type;Depth;Type;MeasurementsPerDay;X0;X20;X25;X40;X50;X60;X75;X80;X100;X120;X160;X200;X240;X250;X300;X320;X400;X500;X1000;X1500;X2000;M0;M20;M25;M40;M50;M60;M75;M80;M100;M120;M160;M200;M240;M250;M300;M320;M400;M500;M1000;M1500;M2000;V53;V54;V55;V56;V57;V58;V59;V60;V61;V62;V63;V64;V65;V66;V67;V68;V69;V70;V71;V72;V73
1;RHM;20069.txt;Wiese;79.5;76.98333333;1989;NA;1;80;min;1;NA;-23.34193548;NA;-22.40666667;NA;NA;NA;-21.50645161;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Inf;0;Inf;0;Inf;Inf;Inf;0;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;RHM;20069.txt;Wiese;79.5;76.98333333;1990;NA;1;80;min;1;NA;-24.26129032;NA;NA;NA;NA;NA;-22.78064516;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Inf;0;Inf;0;Inf;Inf;Inf;0;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;RHM;20069.txt;Wiese;79.5;76.98333333;1991;NA;1;80;min;1;NA;NA;NA;NA;NA;NA;NA;-23.81428571;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Inf;0;Inf;0;Inf;Inf;Inf;0;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;0;4;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;RHM;20069.txt;Wiese;79.5;76.98333333;1992;NA;1;80;min;1;NA;-22.35185185;NA;-21.85185185;NA;NA;NA;-21.18518519;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Inf;0;Inf;0;Inf;Inf;Inf;0;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;RHM;20069.txt;Wiese;79.5;76.98333333;1993;NA;1;80;min;1;NA;-25.46451613;NA;-25.28709677;NA;NA;NA;-24.46451613;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Inf;0;Inf;0;Inf;Inf;Inf;0;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;RHM;20069.txt;Wiese;79.5;76.98333333;1994;NA;1;80;min;1;NA;-24.71071429;NA;-23.95357143;NA;NA;NA;-22.93214286;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Inf;0;Inf;0;Inf;Inf;Inf;0;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;RHM;20069.txt;Wiese;79.5;76.98333333;1995;NA;1;80;min;1;NA;-20.67419355;NA;-20.12258065;NA;NA;NA;-20.18709677;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Inf;0;Inf;0;Inf;Inf;Inf;0;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;RHM;20069.txt;Wiese;79.5;76.98333333;1996;NA;1;80;min;1;NA;-20.88888889;NA;-20.06296296;NA;NA;NA;-18.56296296;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Inf;0;Inf;0;Inf;Inf;Inf;0;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;RHM;20069.txt;Wiese;79.5;76.98333333;1997;NA;1;80;min;1;NA;-23.22142857;NA;-22.40357143;NA;NA;NA;-20.66071429;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Inf;0;Inf;0;Inf;Inf;Inf;0;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;RHM;20069.txt;Wiese;79.5;76.98333333;1998;NA;1;80;min;1;NA;NA;NA;NA;NA;NA;NA;-22.11290323;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Inf;0;Inf;0;Inf;Inf;Inf;0;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;Inf;0;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
